gold_id,case_id,conversation_id,customer_message,context,proposed_status,proposed_areas,proposed_intents,proposed_primary_intent,proposed_states,proposed_should_escalate,human_status,human_areas,human_intents,human_primary_intent,human_states,human_should_escalate,human_escalation_reason,human_notes,review_flags,assistant_outcome,review_priority,assistant_status_recommendation,assistant_areas_recommendation,assistant_intents_recommendation,assistant_primary_intent_recommendation,assistant_states_recommendation,assistant_should_escalate_recommendation,assistant_escalation_reason_recommendation,assistant_notes_recommendation,human_action,adjudication_status
gold_0011,amazon_case_0021029,29999,Is it necessary to send fax ?? Can't we send email with supporting documents ??,"CUSTOMER: It's really a harassment.Despite sending the details via fax I got mail that the fax does not contain billing details.
CUSTOMER: I am been harrassed by Amazon my account is put on hold by account team n its been 2 week
CUSTOMER: Whom should I personally meet in this regard??
BRAND: Request you to reply to the email you've received from our team with the mentioned details and our team will look into it.
CUSTOMER: Have been following from 2 weeks to unhold my account
BRAND: Did you receive anything from an a/c specialist? Please also check your spam/junk folder.
CUSTOMER: Is it necessary to send fax ?? Can't we send email with supporting documents ??",AMBIGUOUS,,,,INITIAL_INQUIRY,False,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,REPEATED_FAILED_SUPPORT_ATTEMPTS,Context shows account held for about two weeks and repeated document/fax attempts; current message asks how to submit required documents.,,,NORMAL,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,REPEATED_FAILED_SUPPORT_ATTEMPTS,Context shows account held for about two weeks and repeated document/fax attempts; current message asks how to submit required documents.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0012,amazon_case_0028664,42519,was expecting 2 packages by 16/10/17 - still not received. Ordered 10/10/17. Can you help?,CUSTOMER: was expecting 2 packages by 16/10/17 - still not received. Ordered 10/10/17. Can you help?,AMBIGUOUS,,,,INITIAL_INQUIRY,False,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,WAITING_WINDOW_EXCEEDED,False,,Expected delivery date had passed.,,,NORMAL,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,WAITING_WINDOW_EXCEEDED,False,,Expected delivery date had passed.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0013,amazon_case_0037171,54422,people at +12062662992 not helpful at all.,"CUSTOMER: really bad service in there. I never received an item and it is real hassle that you send it. It is not worth the US$8
CUSTOMER: people at +12062662992 not helpful at all.",AMBIGUOUS,,,,INITIAL_INQUIRY,False,NORMAL,DELIVERY_AND_FULFILLMENT,WHERE_IS_MY_ORDER,WHERE_IS_MY_ORDER,INITIAL_INQUIRY,False,,Context says an item was never received; current message complains about support. Delivery issue remains the active case.,,,NORMAL,NORMAL,DELIVERY_AND_FULFILLMENT,WHERE_IS_MY_ORDER,WHERE_IS_MY_ORDER,INITIAL_INQUIRY,False,,Context says an item was never received; current message complains about support. Delivery issue remains the active case.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0014,amazon_case_0040497,58087,can I DM you instead?,"CUSTOMER: I replied a while ago
CUSTOMER: can I DM you instead?",AMBIGUOUS,,,,INITIAL_INQUIRY,False,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0015,amazon_case_0041566,59537,I got it sorted. Thanks for the help.,"BRAND: I apologize for the inconvenience! Can you tell us what your prime status is here: <URL>
CUSTOMER: I got it sorted. Thanks for the help.",AMBIGUOUS,,,,INITIAL_INQUIRY,False,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Pure closure/thanks turn; no current actionable business intent.,CONTEXT_MAY_DISAMBIGUATE,RESOLVED_CLOSURE,HUMAN_REVIEW,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Pure closure/thanks turn; no current actionable business intent.,Inspect context carefully before accepting.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0016,amazon_case_0046743,67460,Thank you for the quick reply! Have a good week!,"CUSTOMER: hi there. ordered some items via <URL> which are lost in transit. nobody has contacted me, updated me, refunded me. wondering why I am paying for prime if this is the service I get. can you help? email: __email__. thanks.
BRAND: I'm sorry to read, that your orders were lost. Please reach out to our customer service, so we can investigate into the issue: <URL> Kind regards
CUSTOMER: Thank you for the quick reply! Have a good week!",AMBIGUOUS,,,,INITIAL_INQUIRY,False,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Pure closure/thanks turn; earlier issue is already being treated as resolved.,CONTEXT_MAY_DISAMBIGUATE,RESOLVED_CLOSURE,HUMAN_REVIEW,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Pure closure/thanks turn; earlier issue is already being treated as resolved.,Inspect context carefully before accepting.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0017,amazon_case_0049711,71834,UPS website says delayed due to unexpected circumstances. Not very helpful.,"CUSTOMER: the Amazon package I'm waiting for is at the local delivery hub, ,supposed to be delivered today. Notified of a carrier delay, and delivery will be rescheduled. Whhaatis a carrier delay?
BRAND: Carrier delays can be caused by different factors. Is there any further information on the carriers own website tracking?
CUSTOMER: UPS website says delayed due to unexpected circumstances. Not very helpful.",AMBIGUOUS,,,,INITIAL_INQUIRY,False,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,INITIAL_INQUIRY,False,,Customer explicitly reports a carrier delay.,,,NORMAL,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,INITIAL_INQUIRY,False,,Customer explicitly reports a carrier delay.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0018,amazon_case_0052492,75914,Hope i m not going to get a help from you.Bye,"CUSTOMER: No
BRAND: I request you check your inbox/junk/spam folders. If you don't see any email from social media team, we request you to share your details again from the link provided here: <URL> and we'll have a closer look at your concern.
CUSTOMER: More than one week still not resolved ..who will bear the loss....Bcoz of amazon i can't get the product #OnePlus5T
BRAND: Could you please confirm if you've received a correspondence from our social media team here: <URL> ?
CUSTOMER: Bitter experience with bcoz of which i missed oneplus5T .Very poor service
BRAND: We apologize for the inconvenience. Please let us know what went wrong so that we can look into it right away.
CUSTOMER: Already spoken to your customer executive detaily to hemalatha supervisor , no solution provided, purely frustrated.very worst experience
BRAND: Sorry your concern hasn't been addressed yet, please share your details here: <URL> and we'll look into it right away.
CUSTOMER: I have already spoken to your customer care and it has been escalated too...i cannot repeat it time and time again.Better ask them
BRAND: I understand that you're disappointed, Yuvaraj. We'd like to assist you. Please share your details through the link that was provided earlier so that we can check and help you out accordingly.
CUSTOMER: Just shared....if u can call me i will explain detaily...i will provide my number in personal message
BRAND: Thank you for confirming. We'll check and get back to you at the earliest.
CUSTOMER: I need a compensation for sure.....its purely your fault
BRAND: I'm afraid we do not have a compensation policy. As our team is working on the issue, request you to wait for an update. Further, I'll be sure to pass your feedback to the concerned team internally. Appreciate your understanding.
CUSTOMER: Hope i m not going to get a help from you.Bye",AMBIGUOUS,,,,INITIAL_INQUIRY,False,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Angry sign-off without a sufficiently specific current actionable intent.,CONTEXT_MAY_DISAMBIGUATE,UNRESOLVED,HUMAN_REVIEW,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Angry sign-off without a sufficiently specific current actionable intent.,Inspect context carefully before accepting.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0019,amazon_case_0053730,77510,Well it turns out are a bunch of unhelpful and lying human beings! #neverbuyfromamazon #amazon,CUSTOMER: Well it turns out are a bunch of unhelpful and lying human beings! #neverbuyfromamazon #amazon,AMBIGUOUS,,,,INITIAL_INQUIRY,False,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,General support dissatisfaction without a specific actionable intent.,CONTEXT_MAY_DISAMBIGUATE,UNRESOLVED,HUMAN_REVIEW,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,General support dissatisfaction without a specific actionable intent.,Inspect context carefully before accepting.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0020,amazon_case_0055864,80637,Need support on seller central,"CUSTOMER: If you are paying for a premium rate call you at least expect to get someone who speaks English
BRAND: Can I ask what number you contacted? And where you found it? Our contact number is not a premium rate number but freephone within the UK. Additionally, if you contact us through the website we'll call you back rather than you call us: <URL>
CUSTOMER: This is the number 0870 042 0479
BRAND: Thank you for providing that for us. If you contact us via our website, we will call you back. You can do so via this link: <URL> As per previous correspondence, we have a freephone within the UK..
CUSTOMER: Need support on seller central",AMBIGUOUS,,,,INITIAL_INQUIRY,False,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Seller Central is merchant support outside the chosen consumer-support scope.,TAXONOMY_GAP_REVIEW,OUT_OF_TAXONOMY,HUMAN_REVIEW,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Seller Central is merchant support outside the chosen consumer-support scope.,Inspect context carefully before accepting.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0021,amazon_case_0057705,83476,when to get redmi5A on amazon?,CUSTOMER: when to get redmi5A on amazon?,AMBIGUOUS,,,,INITIAL_INQUIRY,False,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Product availability/restock is outside the frozen post-purchase support taxonomy.,OUT_OF_SCOPE_DECISION_REVIEW,OUT_OF_TAXONOMY,HUMAN_REVIEW,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Product availability/restock is outside the frozen post-purchase support taxonomy.,Inspect context carefully before accepting.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0022,amazon_case_0064307,93469,"No, a resolution was not offered, nor did they attempt to call me back.","CUSTOMER: I have never had an issue with customer service ... until today. Y'all royally screwed up my Salvation Army Angel Tree gift. I'm annoyed.
BRAND: I'm sorry for the trouble with your order! Without providing personal or account details, can you tell us a bit more about what's going on? We're here to help!
CUSTOMER: I ordered something that is Prime on 11/20. It's 11/30 and I still don't have it. And your customer service rep just hung up on me!!!
BRAND: Hello, I'm sorry for the delay. What was the original delivery date you received in your confirmation email?
CUSTOMER: It was originally 11/28. The Salvation Army is set to pick up gifts on today ... And I don't have the gift, so my Angel's gift is incomplete.
BRAND: I'm so sorry about that! That definitely is not the experience we want from you. Was the agent you spoke to previously able to offer any resolution at all before the disconnect?
CUSTOMER: No, a resolution was not offered, nor did they attempt to call me back.",AMBIGUOUS,,,,INITIAL_INQUIRY,False,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,WAITING_WINDOW_EXCEEDED,True,REPEATED_FAILED_SUPPORT_ATTEMPTS,Context shows an overdue Prime order plus a failed prior support interaction; escalation is justified by repeated failure.,,UNRESOLVED,NORMAL,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,WAITING_WINDOW_EXCEEDED,True,REPEATED_FAILED_SUPPORT_ATTEMPTS,Context shows an overdue Prime order plus a failed prior support interaction; escalation is justified by repeated failure.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0023,amazon_case_0068025,99898,I private messaged you! And still no reply!,CUSTOMER: I private messaged you! And still no reply!,AMBIGUOUS,,,,INITIAL_INQUIRY,False,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0024,amazon_case_0072871,108195,That was impressive customer service. Thanks for helping. <URL>,"CUSTOMER: Hi, I’ve received a parcel today, signed for by a neighbour who I don’t know, the box is like this. Items missing, can you help? <URL>
BRAND: Hello Alio. I'm very sorry to see the way your parcel was delivered! We'd like to help the best we can. When you have the chance, please ring us here: <URL> so we can look into this together.
CUSTOMER: That was impressive customer service. Thanks for helping. <URL>",AMBIGUOUS,,,,INITIAL_INQUIRY,False,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Closure/thanks turn after prior parcel issue.,CONTEXT_MAY_DISAMBIGUATE,RESOLVED_CLOSURE,HUMAN_REVIEW,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Closure/thanks turn after prior parcel issue.,Inspect context carefully before accepting.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0025,amazon_case_0072882,108215,4 of december. My question is if there is a problem with my order,"CUSTOMER: is there a problem with orders shipping from Amazon Uk and Amazon IT? I order since 18 of November and didnt ship yet!
BRAND: I'm sorry for the concern, Michalis! If the item you're ordering is out of stock or unavailable to ship immediately, it may take additional processing time before being shipped: <URL> I hope this is helpful!
CUSTOMER: the item is in stock and also i spoke with someone with live chat and assured me that my order was going to ship last night. Not
BRAND: What was the delivery date given in your confirmation e-mail here: <URL>
CUSTOMER: 4 of december. My question is if there is a problem with my order",AMBIGUOUS,,,,INITIAL_INQUIRY,False,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,INITIAL_INQUIRY,False,,Conversation context makes the active issue an order that has not shipped since Nov 18 and is associated with a later delivery date.,CONTEXT_MAY_DISAMBIGUATE,,HUMAN_REVIEW,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,INITIAL_INQUIRY,False,,Conversation context makes the active issue an order that has not shipped since Nov 18 and is associated with a later delivery date.,Inspect context carefully before accepting.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0026,amazon_case_0054516,78823,Button popped up today for a refund. I requested it. Thanks for the quick replies,"CUSTOMER: Hey what is going on with your provider ? I’ve ordered 5 things and 4 of them have been delayed. Ordered a Prime on 3 of them. On is now 7 days late...should have just bought it at the store
BRAND: Hi Justin, what were the expected delivery dates provided in your order confirmation emails? Have these dates passed?
CUSTOMER: November 25th
BRAND: Thanks for the information, Justin! Whats the latest tracking information for your order? You can check here: <URL>
CUSTOMER: It said it was on its way. It was at a ups warehouse 6 days ago 14 miles from my house. They successfully gave it to USPS to deliver to me. Seriously.
CUSTOMER: Button popped up today for a refund. I requested it. Thanks for the quick replies
BRAND: I am sorry your packages have been delayed. Our team would be happy to research, please DM the tracking numbers, your address, and telephone number. <URL>",OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,WAITING_WINDOW_EXCEEDED,False,,"The current turn confirms a refund request, but the active support case is still the delivery delay.",,,NORMAL,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,WAITING_WINDOW_EXCEEDED,False,,"The current turn confirms a refund request, but the active support case is still the delivery delay.",Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
